disciplina_id;gran_area_codigo;gran_area_descripcion;area_codigo;area_descripcion;disciplina_codigo;disciplina_descripcion
16;1;CIENCIAS NATURALES Y EXACTAS;1.3;Ciencias Físicas;1.3.7;Astronomía (incluye Astrofísica y Ciencias del Espacio)
17;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas;1.4.0;SIN DATOS
18;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas;1.4.1;Química Orgánica
19;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas;1.4.2;Química Inorgánica y Nuclear
20;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas;1.4.3;Físico-Química, Ciencia de los Polímeros, Electroquímica
21;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas;1.4.4;Química Coloidal
22;1;CIENCIAS NATURALES Y EXACTAS;1.4;Ciencias Químicas;1.4.5;Química Analítica
23;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.0;SIN DATOS
24;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.1;Geociencias multidisciplinaria
25;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.2;Mineralogía
26;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.3;Paleontología
27;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.4;Geoquímica y Geofísica
28;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.5;Geografía Física
29;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.6;Geología
30;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.7;Vulcanología
31;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.8;"Ciencias Medioambientales (los aspectos sociales van en 5.7 ""Geografía Económica y Social"""
32;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.9;Meteorología y Ciencias Atmosféricas
33;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.10;Investigación Climatológica
34;1;CIENCIAS NATURALES Y EXACTAS;1.5;Ciencias de la Tierra y relacionadas con el Medio Ambiente;1.5.11;Oceanografía, Hidrología, Recursos Hídricos
35;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.0;SIN DATOS
36;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.1;Biología Celular, Microbiología
37;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.2;Virología
38;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.3;Bioquímica y Biología Molecular (ídem 3.1.10)
39;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.4;Métodos de Investigación en Bioquímica
40;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.5;Micología
41;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.6;Biofísica
42;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.7;"Genética y Herencia (Genética Médica va en 3 ""Ciencias Médicas y de la Salud”)"
43;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.8;"Biología Reproductiva (aspectos médicos van en 3 ""Ciencias Médicas y de la Hídrico Salud"")"
44;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.9;Biología del Desarrollo
45;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.10;Ciencias de las Plantas, Botánica
46;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.11;Zoología, Ornitología, Entomología, Etología
47;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.12;Biología Marina, Limnología
48;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.13;Ecología
49;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.14;Conservación de la Biodiversidad
50;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.15;Biología (teórica, matemática, térmica, criobiología, ritmos biológicos), Biología Evolutiva
51;1;CIENCIAS NATURALES Y EXACTAS;1.6;Ciencias Biológicas;1.6.16;Otros Tópicos Biológicos
52;1;CIENCIAS NATURALES Y EXACTAS;1.7;Otras Ciencias Naturales y Exactas;1.7.0;SIN DATOS
53;2;INGENIERÍAS Y TECNOLOGÍAS;2.0;SIN DATOS;2.0.0;SIN DATOS
54;2;INGENIERÍAS Y TECNOLOGÍAS;2.1;Ingeniería Civil;2.1.0;SIN DATOS
55;2;INGENIERÍAS Y TECNOLOGÍAS;2.1;Ingeniería Civil;2.1.1;Ingeniería Civil
56;2;INGENIERÍAS Y TECNOLOGÍAS;2.1;Ingeniería Civil;2.1.2;Ingeniería Arquitectónica
57;2;INGENIERÍAS Y TECNOLOGÍAS;2.1;Ingeniería Civil;2.1.3;Ingeniería de la Construcción
58;2;INGENIERÍAS Y TECNOLOGÍAS;2.1;Ingeniería Civil;2.1.4;Ingeniería Estructural
59;2;INGENIERÍAS Y TECNOLOGÍAS;2.1;Ingeniería Civil;2.1.5;Ingeniería del Transporte
60;2;INGENIERÍAS Y TECNOLOGÍAS;2.2;Ingeniería Eléctrica, Ingeniería Electrónica e Ingeniería de la Información;2.2.0;SIN DATOS
61;2;INGENIERÍAS Y TECNOLOGÍAS;2.2;Ingeniería Eléctrica, Ingeniería Electrónica e Ingeniería de la Información;2.2.1;Ingeniería Eléctrica y Electrónica
62;2;INGENIERÍAS Y TECNOLOGÍAS;2.2;Ingeniería Eléctrica, Ingeniería Electrónica e Ingeniería de la Información;2.2.2;Control Automático y Robótica
63;2;INGENIERÍAS Y TECNOLOGÍAS;2.2;Ingeniería Eléctrica, Ingeniería Electrónica e Ingeniería de la Información;2.2.3;Sistemas de Automatización y Control
64;2;INGENIERÍAS Y TECNOLOGÍAS;2.2;Ingeniería Eléctrica, Ingeniería Electrónica e Ingeniería de la Información;2.2.4;Ingeniería de Sistemas y Comunicaciones
65;2;INGENIERÍAS Y TECNOLOGÍAS;2.2;Ingeniería Eléctrica, Ingeniería Electrónica e Ingeniería de la Información;2.2.5;Telecomunicaciones
66;2;INGENIERÍAS Y TECNOLOGÍAS;2.2;Ingeniería Eléctrica, Ingeniería Electrónica e Ingeniería de la Información;2.2.6;Hardware y Arquitectura de Computadoras
67;2;INGENIERÍAS Y TECNOLOGÍAS;2.3;Ingeniería Mecánica;2.3.0;SIN DATOS
68;2;INGENIERÍAS Y TECNOLOGÍAS;2.3;Ingeniería Mecánica;2.3.1;Ingeniería Mecánica
69;2;INGENIERÍAS Y TECNOLOGÍAS;2.3;Ingeniería Mecánica;2.3.2;Mecánica Aplicada
70;2;INGENIERÍAS Y TECNOLOGÍAS;2.3;Ingeniería Mecánica;2.3.3;Termodinámica
71;2;INGENIERÍAS Y TECNOLOGÍAS;2.3;Ingeniería Mecánica;2.3.4;Ingeniería Aeroespacial
72;2;INGENIERÍAS Y TECNOLOGÍAS;2.3;Ingeniería Mecánica;2.3.5;"Ingeniería Nuclear (Física Nuclear va en 1.3 ""Ciencias Físicas"")"
73;2;INGENIERÍAS Y TECNOLOGÍAS;2.3;Ingeniería Mecánica;2.3.6;Ingeniería de Audio, Análisis de Confiabilidad
74;2;INGENIERÍAS Y TECNOLOGÍAS;2.4;Ingeniería Química;2.4.0;SIN DATOS
75;2;INGENIERÍAS Y TECNOLOGÍAS;2.4;Ingeniería Química;2.4.1;Ingeniería Química (plantas, productos)
76;2;INGENIERÍAS Y TECNOLOGÍAS;2.4;Ingeniería Química;2.4.2;Ingeniería de Procesos Químicos
77;2;INGENIERÍAS Y TECNOLOGÍAS;2.5;Ingeniería de los Materiales;2.5.0;SIN DATOS
78;2;INGENIERÍAS Y TECNOLOGÍAS;2.5;Ingeniería de los Materiales;2.5.1;Ingeniería de los Materiales
79;2;INGENIERÍAS Y TECNOLOGÍAS;2.5;Ingeniería de los Materiales;2.5.2;Cerámicos
80;2;INGENIERÍAS Y TECNOLOGÍAS;2.5;Ingeniería de los Materiales;2.5.3;Recubrimientos y Películas
